Start Date,End Date,Concert Name,Bands,Venue,Location
06/10/2023,,Escape From Wiscansin Fest 2023,Chance the Rapper / T-Pain / Afroman / Bow Wow / tobi lou / Lil Scrappy / Taylor Bennett / DJ Paul / Ambre / Young Ca$h / Seddy Hendrinx / LaRussell / NandoSTL / DJay Mando / Chayo Nash,The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
06/07/2023,,Studio Milwaukee Sessions,Samia,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
05/26/2023,,"",Emmitt James / NilexNile / Spider Creek / AC the Ruler,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
05/24/2023,,"Fenne Lily,Christian Lee Hutson at The Back Room @ Colectivo",Fenne Lily / Christian Lee Hutson / Work Wife,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
05/23/2023,,"",Ondara,Shank Hall,"Milwaukee, Wisconsin, United States"
05/18/2023,,"",David Wax Museum / Jacob Slade,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
05/08/2023,,Conditions Of A Punk Tour,half•alive / Tessa Violet / Dev Lemons,The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
05/06/2023,,IPUTUON @ Exhibit,Wave Chapelle / Eli $tone / 2hi / NilexNile,Exhibit Clothing Store,"Milwaukee, Wisconsin, United States"
05/01/2023,,,Overcoats,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
04/22/2023,,,Caroline Rose,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
04/04/2023,,,Lucius / Danielle Ponder,Turner Hall ,"Milwaukee, Wisconsin, United States"
03/22/2023,,,Willi Carlisle / Willy Tea Taylor,Shank Hall,"Milwaukee, Wisconsin, United States"
03/04/2023,,"",The Collection / Mom Rock,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
02/11/2023,,"",Bella White / Jack Schneider,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
02/09/2023,,The Florentine Opera Presents: Covers,Immortal Girlfriend / Florentine Opera,The Cooperage,"Milwaukee, Wisconsin, United States"
01/07/2023,,Floating Gardens,The Nunnery,Eau Claire Masonic Temple,"Eau Claire, Wisconsin, United States"
12/23/2022,,Cullah's Annual Christmas Concert,Cullah,Anodyne Coffee Roasting - Walker's Point Roastery,"Milwaukee, Wisconsin, United States"
12/16/2022,,,Nikki Lane,Shank Hall,"Milwaukee, Wisconsin, United States"
11/11/2022,,"",We Are the Willows,Anodyne Coffee Roasting - Walker's Point Roastery,"Milwaukee, Wisconsin, United States"
10/21/2022,,,Saintseneca / Yowler,X-Ray Arcade,"Cudahy, Wisconsin, United States"
09/17/2022,,Midwest Musicfest 2022,Bathtub Cig / The Nunnery / J.E. Sunde,Root Note Coffee,"La Crosse, Wisconsin, United States"
09/16/2022,09/17/2022,Mid West Music Fest La Crosse 2022,"Field Report / Dosh / Dead Horses / Disq / GGOOLLDD / Why Not / Courtney Hartman / J.E. Sunde / Chris Koza / The Shackletons / Tugg / Good Morning Bedlam / Sleepy Gaucho / The People Brothers Band / Kiss the Tiger / Immortal Girlfriend / Seasaw / Kat and the Hurricane / Killusonline / Horace Greene / Mike Munson / Johanna Rose / Bathtub Cig / Luke Callen / glowingtide / The Gentlemen's Anti-Temperance League / The Violet Nines / Muun Bato / Caley Conway / Luke Hendrickson / The Immaculate Beings / Sweat Boys / St. Anthony Mann / theyself / Telethon (WI, USA) / FènixDion / Bad Posture Club / Under Violet / Loud Mouth Brass / Jae Havoc / Ellie Jackson / The Nunnery (US) / LASKA (US) / WRST / RiGBY (MN) / Audrey Robinson",Mid West Music Fest La Crosse 2022,"La Crosse, WI, US"
09/14/2022,,Studio Milwaukee Sessions,Whitney,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
09/08/2022,,,Steve 'n' Seagulls / Volk,Shank Hall,"Milwaukee, Wisconsin, United States"
09/02/2022,,"",Snail Mail / Momma / Hotline TNT,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
08/27/2022,,"",Monica Martin / Jake Sherman,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
08/25/2022,,,Futurebirds,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
08/19/2022,,,Bodega,Cactus Club,"Milwaukee, Wisconsin, United States"
08/13/2022,,Tru School Summer Park Jam 2022,Wave Chapelle,Marcus Center Bradley Pavillion,"Milwaukee, Wisconsin, United States"
08/12/2022,,"",Dead Horses / The Brother Brothers,Turner Hall ,"Milwaukee, Wisconsin, United States"
08/10/2022,,,Rosie Tucker / The Beths,Raccoon Motel,"Davenport, Iowa, United States"
08/04/2022,,"",Yellow Ostrich / Bathtub Cig,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
07/28/2022,07/31/2022,Lollapalooza Chicago 2022,Green Day / J. Cole / Big Sean / Metallica / Dua Lipa / Kygo / Tove Lo / Charli xcx / Machine Gun Kelly / Lil Baby / The Wombats / Tinashe / Local Natives / BANKS / Duke Dumont / ZHU / Royal Blood / Willow / Denzel Curry / Dashboard Confessional / Jazmine Sullivan / girl in red / Wallows / Manchester Orchestra / COIN / Cordae / King Princess / Chelsea Cutler / MK / Mahalia / Måneskin / Black Coffee / Bob Moses / The Marías / Beach Bunny / Polo & Pan / Sam Fender / Young Nudy / Duckwrth / IDLES / Maxo Kream / FLETCHER / Role Model / Last Dinosaurs / Goth Babe / PinkPantheress / 100% / MUNA / Liquid Stranger / Hinds / James Hype / Chris Lorenzo / Sampa The Great / The Regrettes / Remi Wolf / Turnstile / Rolling Blackouts Coastal Fever / Coi Leray / Caroline Polachek / Habstrakt / Alexander 23 / Young franco / CloZee / Jasiah / Del Water Gap / Gracie Abrams / Blxst / Wet Leg / Rawayana / Cochise / Larry June / Inhaler / Zach Bryan / Djo / Griff / Gayle / BabyJake / Lorna Shore / Surf Mesa / Zoe Wees / EVAN GIIA / Genesis Owusu / flipturn / Low Cut Connie / KennyHoopla / BIJOU / DYLAN / Coco & Clair Clair / Claire Rosinkranz / SoFaygo / Atliens / Glaive / Daisy the Great / Whipped Cream / Maude Latour / Audrey Nuna / Mariah the Scientist / Mills / John Summit / Jesse Jo Stark / TSHA / Erica Banks / Sidepiece / Willie Jones / Rosie / Bikini / India Shawn / redveil / ericdoa / Teezo Touchdown / Emmy Meli / Trella / Pom Pom Squad / Petey / Tony Velour / midwxst / Jordy / Meet Me @ the Altar / Giovannie and the Hired Guns / LP Giobbi / Jackie Hayes / Peter Cottontale / Blackstarkids / Sam Austins / Horsegirl / Gordo / La Doña / David Solomon / Wreckno / Lucille Croft / COM3T / Biicla / Buffalo Nichols / Niko Rubio / Prentiss / underscores (US) / Steller / Charm La'Donna / Gata / Dannylux / Aiida / Calder Allen / TAIPEI HOUSTON,Grant Park,"Chicago, Illinois, United States"
07/28/2022,,"",Horsegirl / Lifeguard,Cactus Club,"Milwaukee, Wisconsin, United States"
07/09/2022,,Summerfest 2022,Parquet Courts / Illuminati Hotties / Dry Cleaning,Summerfest,"Milwaukee, Wisconsin, United States"
07/07/2022,,IS IT ME OR IS IT HOT Summer Tour,Ashe / Adam Melchor,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
07/02/2022,,Summerfest Summercamp 2022,Houndmouth,Cooperage,"Milwaukee, Wisconsin, United States"
06/25/2022,,Summerfest 2022,Noga Erez,Summerfest,"Milwaukee, Wisconsin, United States"
06/13/2022,,"",Another Michael,House Show,"Philadelphia, Pennsylvania, United States"
06/06/2022,,Studio Milwaukee Sessions,PUP,88Nine Radio Milwaukee Studios,"Milwaukee, Wisconsin, United States"
06/06/2022,,"",PUP / Oceanator,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
06/03/2022,,Reunion Tour,Phoebe Bridgers / Charlie Hickey,"BMO Pavilion, Henry Maier Festival Park","Milwaukee, Wisconsin, United States"
05/29/2022,,,The Rough & Tumble,Chateau De Sched,"Hartland, WI, US"
05/14/2022,,"",S. Carey / Courtney Hartman,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
04/07/2022,,"",Haley Heynderickx / Matt Dorrien,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
04/07/2022,,"",Wave Chapelle,No Studios,"Milwaukee, Wisconsin, United States"
04/06/2022,,"",Wolf Alice / Charlie Hickey,Majestic Theatre,"Madison, Wisconsin, United States"
04/03/2022,,"",Lala Lala / Elton Aura,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
03/29/2022,,,Shovels & Rope,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
03/28/2022,,"",Perfume Genius / Hand Habits,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
03/25/2022,,"",Cabin Essence,3rd Ward Coffee Shop,"Milwaukee, Wisconsin, United States"
03/24/2022,,,Bright Eyes / Christian Lee Hutson,The Riverside Theater,"Milwaukee, Wisconsin, United States"
03/18/2022,,,The Tallest Man On Earth / Uwade,Pabst Theatre,"Milwaukee, Wisconsin, United States"
03/18/2022,,I Think I Should Know This (Guest Band),Cabin Essence,The Cooperage,"Milwaukee, Wisconsin, United States"
03/12/2022,,"",Tank and the Bangas,Studio Milwaukee Session,"Milwaukee, Wisconsin, United States"
03/05/2022,,"",Fenne Lily / Illuminati Hotties / Pom Pom Squad,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
03/02/2022,,"",Wet Leg / Social Cig,Pabst Theatre,"Milwaukee, Wisconsin, United States"
02/20/2022,,Saint Cloud Tour,Waxahatchee / Madi Diaz,Thalia Hall,"Chicago, Illinois, United States"
02/19/2022,,,Gold Steps / Fuzzysurf / Cabin Essence / CREDENTIALS (US),The Cooperage,"Milwaukee, Wisconsin, United States"
02/14/2022,,Couch Tour,Lucy Dacus / Indigo De Souza,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
02/09/2022,,"",Clem Snide,Anodyne Coffee Roasting Co.,"Milwaukee, Wisconsin, United States"
11/01/2021,,"",Another Michael,Cactus Club,"Milwaukee, Wisconsin, United States"
10/28/2021,,,William Prince / Katie Pruitt,Shank Hall,"Milwaukee, Wisconsin, United States"
10/26/2021,,Adam Melchor Fall Tour 2021,Adam Melchor / Field Medic,High Noon Saloon,"Madison, Wisconsin, United States"
10/09/2021,,"",Aoife O'Donovan / Taylor Ashton,Stoughton Opera House,"Stoughton, Wisconsin, United States"
10/02/2021,,,Middle Kids / Mattiel,Metro,"Chicago, Illinois, United States"
09/18/2021,,Summerfest 2018,Phillip-Michael Scale / Tank and the Bangas / Manchester Orchestra / Black Pumas,Summerfest,"Milwaukee, Wisconsin, United States"
09/17/2021,,"",Luna Li / Japanese Breakfast,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
09/16/2021,,Summerfest 2021,Dropkick Murphys,Summerfest,"Milwaukee, Wisconsin, United States"
09/05/2021,,"",We Are the Willows / Ellie Jackson,Anodyne Coffee Roasting Co.,"Milwaukee, Wisconsin, United States"
07/16/2021,,,The Ballroom Thieves,The Sinclair,"Cambridge, Massachusetts, United States"
03/05/2020,,"",Bad Bad Hats / Cabin Essence,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
12/07/2019,,"",Joan Shelley / Daughter of Swords,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
10/27/2019,,"",We Are the Willows,House Show,"Milwaukee, Wisconsin, United States"
10/26/2019,,"",Marika Hackman / Girl Friday,The Back Room @ Colectivo,"Milwaukee, Wisconsin, United States"
10/25/2019,,,Matt and Kim,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
10/11/2019,,,Lucy Dacus / liza anne / Sun June,Majestic Theatre,"Madison, Wisconsin, United States"
09/21/2019,,False Alarm Tour,Two Door Cinema Club / Overcoats,Riviera Theatre,"Chicago, Illinois, United States"
09/14/2019,,"",The Zach Pietrini Band,Backyard Show,"West Allis, Wisconsin, United States"
06/13/2019,,,JR JR,Lincoln Hall,"Chicago, Illinois, United States"
04/19/2019,,"",Lady Lamb / Renata Zeiguer / Alex Schaaf / Yellow Ostrich,First Avenue and 7th St Entry - 7th St Entry Room,"Minneapolis, Minnesota, United States"
03/19/2019,,Making Friends Tour,Jukebox the Ghost / The Mowgli's / Twin XL,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
02/21/2019,,,Beirut,Pabst Theatre,"Milwaukee, Wisconsin, United States"
11/11/2018,,"",Anna Burch,Memorial Union,"Madison, Wisconsin, United States"
10/19/2018,,"",The Hunts,The Grand Opera House,"Oshkosh, Wisconsin, United States"
10/12/2018,,"",We Are the Willows,Arcadia Charter School,"Arcadia, MN, United States"
08/02/2018,08/05/2018,Mile of Music Festival 2018,Wilderado / The National Parks / Michigander / Mo Lowda & the Humble / JC Brooks Band / Sam Burchfield / Luke Winslow-King / Will Dailey / Caleb Hawley / Lilly Hiatt / The Suitcase Junket / Daniel Ellsworth and the Great Lakes / The vegabonds / Farewell Milwaukee / Terra Lightfoot / Reyna / Sun Seeker / Girl Blue / The Right Now / Sarah Potenza / Melodime / Pip the Pansy / Phillip-Michael Scales / The High Divers / C2 & The Brothers Reed / The artisanals / Andrew Leahey & the Homestead / The Mammoths / Zach DuBois / Armchair Boogie / Emily Kopp / Fox Grin / Captain Ivory / Chasing Lovely / Frederick The Younger / Elle Winston / Harpooner / Adrian+Meredith / Ryan M. Brewer / Christina Larocca / Kari Arnett / Stone & Snow / The Hawkeyes - Pgh PA / Bob Barrick / Michael James Wheeler / F I N K E L,Mile of Music Festival,"Appleton, Wisconsin, United States"
07/29/2018,,,Vacationer / Sego,The Crocodile,"Seattle, Washington, United States"
07/21/2018,,"",The Low Anthem / The Ophelias,Mississippi Studios,"Portland, Oregon, United States"
06/15/2018,,"",We Are the Willows,Mortimers,"Minneapolis, Minnesota, United States"
04/20/2018,,"",Kyle Menga & Ross Catterton,Gibson Community Music Hall,"Appleton, Wisconsin, United States"
01/19/2018,,"",The Hunts,CAL Center,"Reedsburg, Wisconsin, United States"
10/06/2017,,"",JR JR,Fine Line,"Minneapolis, Minnesota, United States"
09/17/2017,,"",Auralai / Anima,Backyard Show,"Oshkosh, Wisconsin, United States"
08/19/2017,,"",The Zach Pietrini Band,A Boat,"West Bend, WI"
08/06/2017,,Mile of Music 2017,Cat Clyde,Company Brewing Appleton,"Appleton, Wisconsin, United States"
07/24/2017,,"",Tall Heights,Peg Egan Performing Arts Center,"Egg Harbor, Wisconsin, United States"
07/29/2016,,,JR JR,The Rave/Eagles Club,"Milwaukee, Wisconsin, United States"
07/24/2016,,,Tall Heights,Peg Egan Performing Arts Center,"Egg Harbor, WI, US"
07/12/2015,,"",The Hunts,Peg Egan Performing Arts Center,"Egg Harbor, Wisconsin, United States"
01/10/2015,,Etude Sessions,We Are the Willows,Paradigm Coffee,"Sheboygan, Wisconsin, United States"
10/24/2014,,Southern Door Community Auditorium,The Hunts,Southern Door Community Auditorium,"Sturgeon Bay, WI"
10/16/2014,,,Kina Grannis / Imaginary Future,Turner Hall Ballroom,"Milwaukee, Wisconsin, United States"
09/25/2014,,"",Gregory Alan Isakov / Reed Foeh,Grand Opera House Oshkosh,"Oshkosh, Wisconsin, United States"
08/31/2014,,"",Canyon Spells / Christopher Gold / Noah Harris / Daniel and the Lion,933 W. Calumet St. (House Show),"Appleton, Wisconsin, United States"
08/03/2014,,"",Phox / St Paul and the Broken Bones / San Fermin (US),Meyer Theatre,"Green Bay, Wisconsin, United States"
